Metsävarakuvioiden ja erityisen tärkeiden elinympäristökuvioiden koodisto- taulukko solusta A2 soluun G4464;;;;;;;
Koodisto;Kenttä;Koodi;Selite_FI;Selite_SE;Selite_ENG;Selite_LATINA;
598;maingroup;1;Metsämaa;Skogsmark;;;
598;maingroup;2;Kitumaa;Tvinmark;;;
598;maingroup;3;Joutomaa;Impediment;;;
598;maingroup;4;Muu metsätalousmaa;Annan skogsbruksmark;;;
598;maingroup;5;Tontti;Tomtmark;;;
598;maingroup;6;Maatalousmaa;Jordbruksmark;;;
598;maingroup;7;Muu maa;Annan mark;;;
598;maingroup;8;Vesistö;Vattendrag;;;
601;subgroup;1;Kangas;Momark;;;
601;subgroup;2;Korpi;Kärr;;;
601;subgroup;3;Räme;Myr;;;
601;subgroup;4;Neva;Mosse;;;
601;subgroup;5;Letto;Brunmosse;;;
604;fertilityclass;1;Lehto, letto ja lehtomainen suo (ja ruohoturvekangas);Lund, motsvarande torvmark (och örttorvmo);Grove, fen, grovy fen (and grassy peatland);;
604;fertilityclass;2;Lehtomainen kangas, vastaava suo ja ruohoturvekangas;Lundartad mo, motsvarande torvmark och örttorvmo;Grovy heathland, analogous fen and grovy peatland;;
604;fertilityclass;3;Tuore kangas, vastaava suo ja mustikkaturvekangas;Frisk mo, motsvarande torvmark och torvmo av blåbärstyp;Green heathland, analogous fen and blueberry peatland;;
604;fertilityclass;4;Kuivahko kangas, vastaava suo ja puolukkaturvekangas;Torr mo, motsvarande torvmark och torvmo;dryish heathland, analogous fen and lingonberry peatland;;
604;fertilityclass;5;Kuiva kangas, vastaava suo ja varputurvekangas;Karg mo, motsvarande torvmark och torvmo;dry heathland, analogous fen and shrub dry peatland;;
604;fertilityclass;6;Karukkokangas, vastaava suo (ja jäkäläturvekangas);Lavmo, motsvarande torvmark och torvmo;Barren heathland, analogous fen (and lichen peatland);;
604;fertilityclass;7;Kalliomaa ja hietikko;Bergbundna marker och sandfält;rocky groud and sandy ground;;
604;fertilityclass;8;Lakimetsä ja tunturi;Skog i höjdläge och fjäll;peak forest and fell;;
607;soiltype;10;Keskikarkea tai karkea kangasmaa;Medelgrov och grov momark; ;;
607;soiltype;11;Karkea moreeni;Grov morän; ;;
607;soiltype;12;Karkea lajittunut maalaji;Grov sorterad jordart; ;;
607;soiltype;20;Hienojakoinen kangasmaa;Finfördelad momark; ;;
607;soiltype;21;Hienoainesmoreeni;Finmorän; ;;
607;soiltype;22;Hienojakoinen lajittunut maalaji;Finfördelad sorterad jordart; ;;
607;soiltype;23;Silttipitoinen maalaji;Silthaltig jordart; ;;
607;soiltype;24;Savimaa;Lerjord; ;;
607;soiltype;30;Kivinen keskikarkea tai karkea kangasmaa;Stenig medelgrov eller grov momark; ;;
607;soiltype;31;Kivinen karkea moreeni;Stenig grov morän; ;;
