Tietokantataulu;id;Kenttä;Kuvaus;Tietotyyppi;Linkki koodistoon;Huomioita;;;;;;;;;
stand;1;id;Metsikkökuvion id tiedostossa (GeoPackage);integer;;;;;;;;;;;
stand;2;geometry;Metsikkökuvion geometria;polygon;;EPSG:3067;;;;;;;;;
stand;3;standid;Metsikkökuvion id (Metsäkeskuksen tietokannassa);integer;;;;;;;;;;;
stand;4;parcelid;Metsikkökuvion palstan id (tunniste, viiteavain Parcel-tauluun);integer;;Tyhjä kenttä!;;;;;;;;;
stand;5;realestateid;Metsikkökuvion kiinteistön id (tunniste, viiteavain RealEstate-tauluun);integer;;Tyhjä kenttä!;;;;;;;;;
stand;6;standnumber;Metsikkökuvion numero;integer;;;;;;;;;;;
stand;7;standnumberextension;Metsikkökuvion alanumero;text(2);;;;;;;;;;;
stand;8;maingroup;Metsikkökuvion pääryhmä;integer;598;;;;;;;;;;
stand;9;subgroup;Metsikkökuvion alaryhmä;integer;601;;;;;;;;;;
stand;10;fertilityclass;Metsikkökuvion kasvupaikkaluokka;integer;604;;;;;;;;;;
stand;11;soiltype;Metsikkökuvion maalaji;integer;607;;;;;;;;;;
stand;12;drainagestate;Metsikkökuvion kuivatustilanne;integer;610;;;;;;;;;;
stand;13;ditchingyear;Metsikkökuvion ojitusvuosi;integer;;;;;;;;;;;
stand;14;thinningyear;Metsikkökuvion viimeisin harvennusvuosi;integer;;Tyhjä kenttä!;;;;;;;;;
stand;15;developmentclass;Metsikkökuvion kehitysluokka;text(2);613;;;;;;;;;;
stand;16;standquality;Metsikkökuvion metsikönlaatu;integer;619;;;;;;;;;;
stand;17;maintreespecies;Metsikkökuvion pääpuulaji;integer;622;;;;;;;;;;
stand;18;accessibility;Metsikkökuvion saavutettavuus;integer;625;;;;;;;;;;
stand;19;standinfo;Metsikkökuvion vapaamuotoinen teksti;text;;Tyhjä kenttä!;;;;;;;;;
stand;20;datasource;Metsikkökuvion tietolähde;integer;Datasource_koodisto;;;;;;;;;;
stand;21;growthplacedatasource;Metsikkökuvion kasvupaikkatietojen tietolähde;integer;Datasource_koodisto;;;;;;;;;;
stand;22;area;Metsikkökuvion kokonaispinta-ala (ha);real;;;;;;;;;;;
stand;23;areadecrease;Metsikkökuvion vähennysala (ha);real;;;;;;;;;;;
stand;24;creationtime;Metsikkökuvion luontiaika tietokantaan;datetime;;;;;;;;;;;
stand;25;updatetime;Metsikkökuvion päivitysaika tietokannassa;datetime;;;;;;;;;;;
stand;26;standclass;Metsikkökuvion tyyppi;integer;standclass;;;;;;;;;;
restriction;1;id;Metsikkökuvion toimenpiteen rajoitustiedon id tiedostossa (GeoPackage);integer;;;;;;;;;;;
restriction;2;restrictionid;Metsikkökuvion toimenpiteen rajoitustiedon id (Metsäkeskuksen tietokannassa);integer;;;;;;;;;;;
restriction;3;standid;Viiteavain Stand-tauluun;integer;;;;;;;;;;;
restriction;4;restrictiontype;Metsikkökuvion toimenpiteen rajoitustiedon päätyyppi;integer;661;;;;;;;;;;
restriction;5;restrictioncode;Metsikkökuvion toimenpiteen rajoitustieto;integer;628_631;Koodisto riippuu restrictiontypesta! restrictiontype = 1 --> koodisto 628 ja jos restrictiontype = 2 --> koodisto 631;;;;;;;;;
restriction;6;restrictionends;Metsikkökuvion toimenpiteen rajoituksen päättymisajankohta;date;;Tyhjä kenttä!;;;;;;;;;
restriction;7;creationtime;Metsikkökuvion toimenpiteen rajoitustiedon luontiaika tietokantaan;datetime;;;;;;;;;;;
restriction;8;updatetime;Metsikkökuvion toimenpiteen rajoitustiedon päivitysaika tietokannassa;datetime;;;;;;;;;;;
treestand;1;id;Metsikkökuvion puustotietojen id tiedostossa (GeoPackage);integer;;;;;;;;;;;
treestand;2;treestandid;Metsikkökuvion puustotietojen id (Metsäkeskuksen tietokannassa);integer;;;;;;;;;;;
treestand;3;standid;Viiteavain Stand-tauluun;integer;;;;;;;;;;;
treestand;4;date;Metsikkökuvion puustotietojen ajankohdan pvm;date;;;;;;;;;;;
treestand;5;type;Metsikkökuvion puustotietojen tyyppi;integer;697;;;;;;;;;;
treestand;6;datasource;Metsikkökuvion puustotietojen tietolähde;integer;Datasource_koodisto;;;;;;;;;;
treestand;7;creationtime;Metsikkökuvion puustotietojen luontiaika tietokantaan;datetime;;;;;;;;;;;
treestand;8;updatetime;Metsikkökuvion puustotietojen päivitysaika tietokannassa;datetime;;;;;;;;;;;
treestratum;1;id;Puusto-ositteen id tiedostossa (GeoPackage);integer;;;;;;;;;;;
treestratum;2;treestratumid;Puusto-ositteen id (Metsäkeskuksen tietokannassa);integer;;;;;;;;;;;
treestratum;3;treestandid;Viiteavain TreeStand-tauluun;integer;;;;;;;;;;;
treestratum;4;stratumnumber;Puusto-ositteen ositenumero;integer;;;;;;;;;;;
treestratum;5;treespecies;Puusto-ositteen puulaji;integer;622_634;Koodit 103, 106 ja 201 käytössä vain assortment-taulun puulajeilla!;;;;;;;;;
treestratum;6;storey;Puusto-ositteen jakso;integer;646;;;;;;;;;;
treestratum;7;age;Puusto-ositteen ikä (vuosi);integer;;;;;;;;;;;
treestratum;8;basalarea;Puusto-ositteen pohjapinta-ala (m²/ha);real;;;;;;;;;;;
treestratum;9;stemcount;Puusto-ositteen runkoluku (kpl/ha);integer;;;;;;;;;;;
treestratum;10;meandiameter;Puusto-ositteen keskiläpimitta (cm);real;;;;;;;;;;;
treestratum;11;meanheight;Puusto-ositteen keskipituus (m);real;;;;;;;;;;;
treestratum;12;volume;Puusto-ositteen kokonaistilavuus (m³/ha);real;;;;;;;;;;;
treestratum;13;sawlogpercent;Puusto-ositteen tukkiprosentti (%);real;;;;;;;;;;;
treestratum;14;sawlogvolume;Puusto-ositteen tukkitilavuus (m³/ha);real;;;;;;;;;;;
treestratum;15;pulpwoodvolume;Puusto-ositteen kuitutilavuus (m³/ha);real;;;;;;;;;;;
treestratum;16;volumegrowth;Puusto-ositteen tilavuuskasvu (m³/ha/vuosi);real;;;;;;;;;;;
treestratum;17;leafbiomass;Puusto-ositteen lehtibiomassa (tonnia/ha);real;;;;;;;;;;;
treestratum;18;branchbiomass;Puusto-ositteen oksabiomassa (tonnia/ha);real;;;;;;;;;;;
treestratum;19;stembiomass;Puusto-ositteen runkobiomassa (tonnia/ha);real;;;;;;;;;;;
treestratum;20;stumpbiomass;Puusto-ositteen kantobiomassa (tonnia/ha);real;;;;;;;;;;;
treestratum;21;value;Puusto-ositteen arvo;real;;Tyhjä kenttä!;;;;;;;;;
treestratum;22;currency;Puusto-ositteen arvon valuutta;text;;Tyhjä kenttä!;;;;;;;;;
treestratum;23;valuegrowthpercent;Puusto-ositteen arvokasvuprosentti (%);real;;Tyhjä kenttä!;;;;;;;;;
treestratum;24;dominantheight;Puusto-ositteen valtapituus (m);real;;Tyhjä kenttä!;;;;;;;;;
treestratum;25;creationtime;Puusto-ositteen luontiaika tietokantaan;datetime;;;;;;;;;;;
treestratum;26;updatetime;Puusto-ositteen päivitysaika tietokannassa;datetime;;;;;;;;;;;
treestandsummary;1;id;Puustoyhteenvedon id tiedostossa (GeoPackage);integer;;;;;;;;;;;
treestandsummary;2;treestandsummaryid;Puustoyhteenvedon id (Metsäkeskuksen tietokannassa);integer;;;;;;;;;;;
treestandsummary;3;treestandid;Viiteavain TreeStand-tauluun;integer;;;;;;;;;;;
treestandsummary;4;meanage;Puustoyhteenvedon puuston keski-ikä (vuosi);integer;;;;;;;;;;;
treestandsummary;5;basalarea;Puustoyhteenvedon puuston pohjapinta-ala (m²/ha);real;;;;;;;;;;;
treestandsummary;6;stemcount;Puustoyhteenvedon puuston runkoluku (kpl/ha);integer;;;;;;;;;;;
treestandsummary;7;meandiameter;Puustoyhteenvedon puuston keskiläpimitta (cm);real;;;;;;;;;;;
treestandsummary;8;meanheight;Puustoyhteenvedon puuston keskipituus (m);real;;;;;;;;;;;
treestandsummary;9;volume;Puustoyhteenvedon puuston kokonaistilavuus (m³/ha);real;;;;;;;;;;;
treestandsummary;10;sawlogvolume;Puustoyhteenvedon puuston tukkitilavuus (m³/ha);real;;;;;;;;;;;
treestandsummary;11;pulpwoodvolume;Puustoyhteenvedon puuston kuitutilavuus (m³/ha);real;;;;;;;;;;;
treestandsummary;12;volumegrowth;Puustoyhteenvedon puuston tilavuuskasvu (m³/ha/vuosi);real;;;;;;;;;;;
treestandsummary;13;leafbiomass;Puustoyhteenvedon puuston lehtibiomassa (tonnia/ha);real;;Vain laskenta-tyypin puustoyhteenvedolla!;;;;;;;;;
treestandsummary;14;branchbiomass;Puustoyhteenvedon puuston oksabiomassa (tonnia/ha);real;;Vain laskenta-tyypin puustoyhteenvedolla!;;;;;;;;;
treestandsummary;15;stembiomass;Puustoyhteenvedon puuston runkobiomassa (tonnia/ha);real;;Vain laskenta-tyypin puustoyhteenvedolla!;;;;;;;;;
treestandsummary;16;stumpbiomass;Puustoyhteenvedon puuston kantobiomassa (tonnia/ha);real;;Vain laskenta-tyypin puustoyhteenvedolla!;;;;;;;;;
treestandsummary;17;value;Puustoyhteenvedon puuston arvo;real;;Tyhjä kenttä!;;;;;;;;;
treestandsummary;18;currency;Puustoyhteenvedon puuston arvon valuutta;text;;Tyhjä kenttä!;;;;;;;;;
treestandsummary;19;valuegrowthpercent;Puustoyhteenvedon puuston arvokasvuprosentti (%);real;;Tyhjä kenttä!;;;;;;;;;
treestandsummary;20;developmentclass;Puustoyhteenvedon puuston kehitysluokka;text;613;Vain ennuste-tyypin puustoyhteenvedolla!;;;;;;;;;
treestandsummary;21;maintreespecies;Puustoyhteenvedon puuston pääpuulaji;integer;622;Vain ennuste-tyypin puustoyhteenvedolla!;;;;;;;;;
treestandsummary;22;dominantheight;Puustoyhteenvedon puuston valtapituus (m);real;;Tyhjä kenttä!;;;;;;;;;
treestandsummary;23;creationtime;Puustoyhteenvedon luontiaika tietokantaan;datetime;;;;;;;;;;;
treestandsummary;24;updatetime;Puustoyhteenvedon päivitysaika tietokannassa;datetime;;;;;;;;;;;
operation;1;id;Metsikkökuvion toimenpiteen id tiedostossa (GeoPackage);integer;;;;;;;;;;;
operation;2;operationid;Metsikkökuvion toimenpiteen id (Metsäkeskuksen tietokannassa);integer;;;;;;;;;;;
operation;3;standid;Viiteavain Stand-tauluun;integer;;;;;;;;;;;
operation;4;operationstate;Toimenpiteen tila;integer;operationstate_koodi;;;;;;;;;;
operation;5;maintype;Metsikkökuvion toimenpiteen päätyyppi;integer;661;;;;;;;;;;
operation;6;operationtype;Toimenpiteen laji (hakkuu- tai työlaji);integer;664_667;;;;;;;;;;
operation;7;proposaltype;Toimenpide-ehdotuksen tyyppi;integer;670;;;;;;;;;;
operation;8;proposalyear;Toimenpiteen ehdotusvuosi;integer;;;;;;;;;;;
operation;9;completiondate;Toimenpiteen toteutuspvm;date;;;;;;;;;;;
operation;10;operationinfo;Toimenpiteen teksti;text;;Tyhjä kenttä!;;;;;;;;;
operation;11;datasource;Toimenpiteen tietolähde;integer;Datasource_koodisto;;;;;;;;;;
operation;12;volume;Hakkuun kertymäarvio (m³/ha);real;;;;;;;;;;;
operation;13;income;Hakkuun kokonaistulo;real;;Tyhjä kenttä!;;;;;;;;;
operation;14;cost;Metsänhoitotyö kokonaiskustannukset;real;;Tyhjä kenttä!;;;;;;;;;
operation;15;creationtime;Toimenpiteen luontiaika tietokantaan;datetime;;;;;;;;;;;
operation;16;updatetime;Toimenpiteen päivitysaika tietokannassa;datetime;;;;;;;;;;;
assortment;1;id;Hakkuun puutavaralajin id tiedostossa (GeoPackage);integer;;;;;;;;;;;
assortment;2;assortmentid;Hakkuun puutavaralajin id (Metsäkeskuksen tietokannassa);integer;;;;;;;;;;;
assortment;3;operationid;Viiteavain Operation-tauluun;integer;;;;;;;;;;;
assortment;4;treespecies;Hakkuun puutavaralajin puulaji;integer;622_634;Koodit 103, 106 ja 201 käytössä vain assortment-taulun puulajeilla!;;;;;;;;;
assortment;5;stemtype;Hakkuun puutavaralajin runkolaji;integer;637;;;;;;;;;;
assortment;6;assortmentpercent;Hakkuun puutavaralajin osuus hakkuukertymästä (%);real;;;;;;;;;;;
assortment;7;assortmentvolume;Hakkuun puutavaralajin hakkuukertymä (m³/ha);real;;Tyhjä kenttä!;;;;;;;;;
assortment;8;creationtime;Hakkuun puutavaralajin luontiaika tietokantaan;datetime;;;;;;;;;;;
assortment;9;updatetime;Hakkuun puutavaralajin päivitysaika tietokannassa;datetime;;;;;;;;;;;
specification;1;id;Toimenpiteen tarkenteen id tiedostossa (GeoPackage);integer;;;;;;;;;;;
specification;2;specificationid;Toimenpiteen tarkenteen id (Metsäkeskuksen tietokannassa);integer;;;;;;;;;;;
specification;3;operationid;Viiteavain Operation-tauluun;integer;;;;;;;;;;;
specification;4;specificationcode;Toimenpiteen tarkenteen koodi;integer;676_679_682_685;;;;;;;;;;
specification;5;creationtime;Toimenpiteen tarkenteen luontiaika tietokantaan;datetime;;;;;;;;;;;
specification;6;updatetime;Toimenpiteen tarkenteen päivitysaika tietokannassa;datetime;;;;;;;;;;;
specialfeature;1;id;Erityispiirteen yksilöivä id tiedostossa (GeoPackage);integer;;;;;;;;;;;
specialfeature;2;specialfeatureid;Erityispiirteen id (Metsäkeskuksen tietokannassa);integer;;;;;;;;;;;
specialfeature;3;standid;Viiteavain Stand-tauluun;integer;;;;;;;;;;;
specialfeature;4;mainfeature;Metsikkökuvion pääasiallinen erityispiirre;integer;868;;;;;;;;;;
specialfeature;5;featuretype;Erityispiirteen tyyppi;integer;691;Tyhjä kenttä!;;;;;;;;;
specialfeature;6;featurecode;Erityispiirteen koodi;integer;1_577;;;;;;;;;;
specialfeature;7;featureadditionalcode;Erityispiirteen tarkenne;integer;694;;;;;;;;;;
specialfeature;8;validitystartdate;Erityispiirteen voimassaolon alkamisajankohta;date;;Tyhjä kenttä!;;;;;;;;;
specialfeature;9;validityenddate;Erityispiirteen voimassaolon loppumisajankohta;date;;Tyhjä kenttä!;;;;;;;;;
specialfeature;10;validityexplanation;Erityispiirteen voimassaolon selite;text;;Tyhjä kenttä!;;;;;;;;;
specialfeature;11;featureinfo;Erityispiirteen teksti;text;;Tyhjä kenttä!;;;;;;;;;
specialfeature;12;featureadditionalinfo;Erityispiirteen lisäteksti;text;;Tyhjä kenttä!;;;;;;;;;
specialfeature;13;datasource;Erityispiirteen tietolähde;integer;Datasource_koodisto;Tyhjä kenttä!;;;;;;;;;
specialfeature;14;creationtime;Erityispiirteen luontiaika tietokantaan;datetime;;;;;;;;;;;
specialfeature;15;updatetime;Erityispiirteen päivitysaika tietokannassa;datetime;;;;;;;;;;;
datasource;1;id;Tietolähteen id tiedostossa (GeoPackage);integer;;;;;;;;;;;
datasource;2;code;Tietolähteen koodi;integer;;;;;;;;;;;
datasource;3;description;Tietolähteen selite;text;;;;;;;;;;;
datasource;4;creationtime;Tietolähteen luontiaika tietokantaan;datetime;;;;;;;;;;;
datasource;5;updatetime;Tietolähteen päivitysaika tietokannassa;datetime;;;;;;;;;;;
